;symbol;price;volume;Symbol
326;IBTX;68.56;187701.0;IBTX
327;ICE;114.19;3320708.0;ICE
328;IDA;88.63;277211.0;IDA
329;IEX;192.35;757577.0;IEX
330;IFF;127.06;7863340.0;IFF
331;IHC;41.6;7524.0;IHC
332;IIPR;211.48;185103.0;IIPR
333;INDB;76.85;108064.0;INDB
334;INGR;83.41;499163.0;INGR
335;INTC;58.18;19645612.0;INTC
336;INTU;389.38;867301.0;INTU
337;IOSP;94.59;74159.0;IOSP
338;IP;47.03;4587678.0;IP
339;IPG;25.98;4899834.0;IPG
340;IRM;32.4;3121688.0;IRM
341;ISBC;12.295;9137362.0;ISBC
342;ISTR;17.8;18281.0;ISTR
343;ITT;78.77;239668.0;ITT
344;ITW;202.19;1752736.0;ITW
345;JBHT;144.65;583777.0;JBHT
346;JJSF;155.5;73193.0;JJSF
347;JKHY;152.91;556105.0;JKHY
348;JNJ;164.45;8893798.0;JNJ
349;JOUT;120.59;41004.0;JOUT
350;JPM;137.98;9873922.0;JPM
351;JW-A;49.98;247420.0;JW-A
352;K;58.03;2717133.0;K
353;KAI;148.1;33921.0;KAI
354;KALU;98.63;96862.0;KALU
355;KBAL;11.855;2221057.0;KBAL
356;KEY;18.57;5285043.0;KEY
357;KLAC;288.03;890442.0;KLAC
358;KMB;132.17;1413927.0;KMB
359;KNSL;189.82;160469.0;KNSL
360;KO;49.65;12603215.0;KO
361;KR;33.15;8020651.0;KR
362;KRC;59.09;1488882.0;KRC
363;KRNY;10.65;242934.0;KRNY
364;KW;17.84;168891.0;KW
365;KWR;276.56;36849.0;KWR
366;LAD;369.25;209304.0;LAD
367;LANC;180.54;84710.0;LANC
368;LAND;16.96;174375.0;LAND
369;LARK;25.44;4697.0;LARK
370;LAZ;42.31;1209069.0;LAZ
371;LBAI;14.29;130335.0;LBAI
372;LCII;143.87;122357.0;LCII
373;LECO;115.21;401546.0;LECO
374;LEG;43.02;976769.0;LEG
375;LFUS;262.0;143684.0;LFUS
376;LHX;182.83;1658376.0;LHX
377;LII;274.26;244083.0;LII
378;LIN;257.37;2746626.0;LIN
379;LKFN;62.0;104798.0;LKFN
380;LLY;201.77;2139455.0;LLY
381;LMAT;48.27;144349.0;LMAT
382;LMT;337.04;1151209.0;LMT
383;LNC;51.08;1442043.0;LNC
